"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000171564.11",16.3348769159496,-3.05704576996293,284.801822261247,0,0
"ENSG00000171560.14",15.984367397216,-2.53803489458462,271.427771701841,0,0
"ENSG00000110245.11",15.8025695713853,-3.58566912626107,327.440346637719,0,0
"ENSG00000172482.4",15.3096960676543,-3.96421767118297,353.340945021728,0,0
"ENSG00000163631.16",15.1689411386539,0.660247603942243,316.070675292644,0,0
"ENSG00000145321.12",14.9279191083724,-4.39276161549639,334.336860942988,0,0
"ENSG00000132703.3",14.7682708714631,-4.84916697574837,371.812190546422,0,0
"ENSG00000171557.16",14.7663153874775,-2.31097916285392,246.04809376181,0,0
"ENSG00000158874.11",14.7314784398629,-2.88175137121278,354.012149931816,0,0
"ENSG00000106927.11",14.6463110518526,-2.68993944154995,379.016186958126,0,0
