"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000168530.15",13.314520709047,-0.573027027508845,185.991256958091,0,0
"ENSG00000125414.18",12.9124862635992,0.394015062101316,134.663294014595,0,0
"ENSG00000109061.9",12.9105122919423,0.644912636977743,125.982533037508,0,0
"ENSG00000257514.5",12.9063975320011,-1.82380123642283,269.708839228534,0,0
"ENSG00000180209.11",12.4566794193127,-0.330631058283713,204.745548221182,0,0
"ENSG00000086967.9",12.3271069691898,0.259796751644864,183.057349470159,0,0
"ENSG00000196091.13",11.9122070461341,4.51621310526815,187.913656713364,0,0
"ENSG00000240045.1",11.9112651215455,-1.16816297666591,182.278121547242,0,0
"ENSG00000101470.9",11.8460095791435,1.83178968614189,235.930858424147,0,0
"ENSG00000111046.3",11.6844163140278,-2.22631652523499,236.35722305722,0,0
